x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
633348.11,933648.9,ROI,S,Metasediment,0.6448954271534917,0.8977331787470515,0.04949426298324871,0.7701595170511334,0.33866389477471714
636635.21,915022.85,ROI,S,Metasediment,0.6569720601978667,0.7439731339703354,0.07967856714508456,0.824611202174869,0.7043937152680606
640782.6,943175.79,ROI,S,Metasediment,0.22836034932809124,0.027425738615919723,0.803062407548075,0.4322952064926238,0.11446048055011394
635635.55,926918.31,ROI,S,Metasediment,0.8038977151880379,0.9491864230600088,0.014632391156598569,0.49802102906488627,0.9469076080438172
638847.99,940843.31,ROI,S,Metasediment,0.3009248815700429,0.007116299524247392,0.8173349858073802,0.9632191260544517,0.12589453484188223
632945.09,922991.18,ROI,S,Metasediment,0.9409139247848924,0.8460000799584216,0.09587014752328789,0.5794187022748171,0.9998800623675689
638793.99,939149.67,ROI,S,Metasediment,0.7111034127163159,0.9755727021948587,0.205493143565346,0.2948466797265422,0.4454883460600488
653470.86,945366.21,ROI,S,Metasediment,0.7471721826560536,0.7141886219166034,0.438332067324991,0.7014352536680926,0.6844440890736817
632674.16,924279.9,ROI,S,Metasediment,0.7543907705198027,0.8842202054931436,0.4314556430656059,0.27273817614840284,0.9691760284651981
633083.18,934873.64,ROI,S,Metasediment,0.865287937868583,0.906128813017231,0.6314316555391196,0.09523048015032183,0.6091632351177387
637323.27,935244.52,ROI,S,Metasediment,0.1677677161548129,0.30284252188861793,0.14340542917682805,0.16375484747931077,0.042857713988725864
658303.79,944270.4,ROI,S,Metasediment,0.552189745738133,0.8880981889417503,0.01203374245392396,0.8302482708991324,0.2573062007755967
663224.68,940787.11,ROI,S,Metasediment,0.8622828784119106,0.931155798984528,0.34426098428817015,0.31731499620197495,0.9108863391036661
646468.39,945629.21,ROI,S,Metasediment,0.6835019818890786,0.44476872026546194,0.4850677647623236,0.8313277095910127,0.9440690840762803
635162.72,933784.85,ROI,S,Metasediment,0.8035512874222551,0.6947987046735697,0.5880142325990485,0.5218086594970616,0.5421180985887338
654910.5,940981.13,ROI,S,Metasediment,0.4540620669652929,0.10858353656098829,0.49262383560548517,0.9610202694598808,0.2201255347219446
628865.9,916672.56,ROI,S,Metasediment,0.6413666978183107,0.9333546555790989,0.004957422140486947,0.9194019110062768,0.8058209730939911
625429.58,911385.72,ROI,S,Metasediment,0.6609358383551932,0.766001679126854,0.03937952264822293,0.7984647983048815,0.7961859832886898
631785.47,935791.45,ROI,S,Metasediment,0.6434694337920145,0.5360812377563667,0.7991844240994683,0.6010874345340423,0.5836564986207172
625544.6,915330.88,ROI,S,Metasediment,0.8021091811414393,0.8641106624555231,0.20673249910046776,0.5344420901131411,0.9600207891896214
658701.69,943562.55,ROI,S,Metasediment,0.5956946279526926,0.42290009195218486,0.41026666133610523,0.9703354255786991,0.4031103826010475
636786.41,937349.07,ROI,S,Metasediment,0.7116834778125101,0.813616919202015,0.8047015551913005,0.14520449366329508,0.3638507975852557
637192.37,942688.93,ROI,S,Metasediment,0.5764719151815926,0.9943629312757366,0.15168112581457643,0.08735457562067725,0.4310958301683125
627179.21,912392.49,ROI,S,Metasediment,0.7345074280558151,0.9618198536760885,0.007396153999920042,0.6276736097229441,0.8084196217966657
652959.93,941063.13,ROI,S,Metasediment,0.6071750829815346,0.1395674249390317,0.5366009674969016,0.9578219325950506,0.40922720185503536
668244.59,943634.46,ROI,S,Metasediment,0.5156617575972414,0.054851477231839446,0.7150681645544317,0.9831287730380203,0.6541398472794147
629370.81,919092.04,ROI,S,Metasediment,0.6414875447133512,0.5429576620157518,0.3867588853796026,0.8389237596449846,0.8607524087474513
624537.78,912381.52,ROI,S,Metasediment,0.7136734233508427,0.7090712829328749,0.23036021268940152,0.6481029864470476,0.906968376444249
628270.99,913488.25,ROI,S,Metasediment,0.5638313299603622,0.991964178627114,0.0013592931675528725,0.6859632990844761,0.5267660816375485
