FID;UNITNAME;AGEBRACKET;UNITTABLEL
866;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
867;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
868;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
869;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
870;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
871;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
872;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
873;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
874;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
875;Neoproterozoic metasedimentary rocks - Dalradian;Neoproterozoic (-Cambrian), Dalradian Supergroup;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_02.pdf
876;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
877;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
878;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
879;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
